release_date,followers
2022-04-08,2089472
2021-04-30,22487
2021-03-17,802943
2018-08-10,520735
2017-02-03,343598
2018-04-20,101239
2014-01-20,624487
2008-05-12,7303760
2008-05-12,7303760
2015-04-21,48399
2021-10-15,4703788
2012-04-13,7303760
2018-06-15,22392
2018-12-14,60648
2017-05-19,343598
2009-09-24,47659
2020-07-09,66558
2020-12-31,66558
2008-05-01,7303760
2017-12-19,3073077
2008-05-01,7303760
2015-04-28,3073077
2014-01-13,624487
2022-10-21,7303760
2022-10-14,7303760
2022-10-07,7303760
2022-10-07,7303760
2022-10-14,7303760
2022-10-07,7303760
2022-10-07,7303760
2022-10-14,7303760
2022-10-07,7303760
2022-10-20,343598
2022-10-14,878055
2022-10-14,878055
2022-10-07,878055
2022-10-17,450770
2022-10-14,878055
2022-10-21,878055
2022-10-12,450770
2022-10-12,1656488
2022-10-07,878055
2022-10-07,878055
2022-10-14,878055
2022-10-21,878055
2022-10-14,878055
2022-10-21,878055
2022-10-07,878055
2022-10-21,878055
2022-10-07,878055
2019-11-22,5181
2010-10-06,1053513
2013-08-20,252908
2008-07-14,253701
2017-12-08,27858
2013-08-20,252908
2015-03-19,43188
2022-10-21,343598
2007-07-03,1976734
2021-06-04,343598
2021-12-06,4703788
2012-02-28,252908
2015-11-13,1037618
2015-04-28,3073077
2019-04-19,43545
2016-09-09,99978
2015,24794
2015-11-06,1976734
2010-05-21,252908
2017-04-24,283119
2011-04-07,253701
2000-09-26,876226
2017-08-25,252908
2019-03-08,18794
2016-08-26,802943
2012-04-13,7303760
2015-11-13,624487
2010-01-01,1656488
2013-02-19,173166
2018-08-10,7303760
2022-10-07,680021
2022-10-07,680021
2007-09-18,1656488
2022-10-07,680021
2022-10-21,680021
2007-09-18,1656488
2013-07-16,1976734
2022-10-18,450770
2022-10-20,450770
2013-09-17,876226
2022-10-18,802498
2022-10-20,802498
2022-10-21,450770
2022-10-18,802498
2022-10-20,802498
2022-10-17,802498
2022-10-12,802498
2022-10-20,802498
2022-10-14,450770
2022-10-07,450770
2013-05-29,1053513
2020-03-20,12124
2014-10-07,252908
2015-04-28,3073077
2021-01-15,3073077
2020-01-17,680021
2016-10-05,195733
2018-09-03,56637
2021-10-14,32987
2020-11-20,283119
2020-05-15,3073077
2018-10-12,252908
2018-12-21,22487
2005,219413
2016-01-15,54770
2017-12-19,3073077
2020-05-07,66558
2018-05-11,520735
2012-01-03,7303760
2022-04-08,1076084
2021-01-24,7223
2006,14821
2012-05-15,68317
2011-05-03,48399
2020-04-06,155525
2017-02-07,22487
2003-11-04,341604
2018-06-22,389666
2007-01-01,377036
2019-04-05,168924
2011-01-01,638829
2016-01-15,638829
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2007-09-18,1656488
2013-05-13,680021
2005-01-01,450770
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2018-10-08,155525
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2022-10-14,7303760
2007-09-18,1656488
2014-05-19,47937
2013-07-19,283119
2003,341604
2022-05-13,8089
2021-11-17,32987
2022-10-14,3073077
2020-05-08,343598
2003,876226
2021-08-20,252908
2019-05-29,168924
2010-04-06,53726
2022-05-13,99147
2008-02-12,7303760
2022-07-29,6413
2013-11-04,624487
2019-05-10,638829
2022-10-14,4703788
2020-01-31,2465
2022-04-29,99147
2007-07-03,1976734
2021-04-29,66558
2003-10-27,70341
2020-04-17,283119
2022-09-16,6731
2016-02-12,23554
2019-05-24,3073077
2007-04-03,878055
2018-06-01,155525
2017-03-10,520735
2018-03-30,99147
2016-12-02,44314
2017-12-19,3073077
2018-08-10,7303760
2019-04-05,168924
2011-01-01,638829
2014-07-16,138787
2017-05-12,343598
2021-01-01,155525
2019-05-17,50032
2016-02-26,91911
2012-01-09,48399
2016-10-21,68317
2018-02-16,42551
2001-09-04,167887
2014-01-13,624487
2007-09-18,1656488
2005-12-20,174656
2022-10-14,409445
2022-10-14,230571
2022-10-14,366023
2015-12-16,1053513
2019-08-23,25655
2007-03-02,293599
2017-04-14,520735
2021-09-30,11024
